file_name	val_mean_us	aro_mean_us	val_sd_us	aro_sd_us	val_n_us	aro_n_us	val_cilo_us	val_ciup_us	aro_cilo_us	aro_ciup_us	val_mean_ch	aro_mean_ch	val_sd_ch	aro_sd_ch	val_n_ch	aro_n_ch	val_cilo_ch	val_ciup_ch	aro_cilo_ch	aro_ciup_ch	val_diff	aro_diff	val_bf_10	val_bf_01	aro_bf_10	aro_bf_01	val_resid	aro_resid	black_px	white_px	keywords	source
anger.png	1.825688073	6.886597938	1.153449229	2.226152738	109	97	1.60915047	7.329611664	1.60915047	7.329611664	2.7	5.092592593	1.573133012	2.500605673	100	108	2.391671595	5.564200877	2.391671595	5.564200877	0.874311927	1.794005346	46.97860861	0.021286284	725.3294452	0.001378684	-0.487115092	1.987627904	32810	57190	punch, aggression, fight, suits, violence, drunk gentlemen, brawl, tussle, man, men	Pixabay
ant.png	3.755319149	4.642857143	1.419421132	2.042083028	94	98	3.468376284	5.047161525	3.468376284	5.047161525	3.76	4.531531532	1.65217946	1.948518411	100	111	3.436178776	4.894017429	3.436178776	4.894017429	0.004680851	0.111325611	0.162479875	6.154608393	0.158867667	6.294547028	0.165276363	-0.000887427	14497	75503	busy, diligent, animal, insect, queen, insect	Pixabay
ant2.png	3.791666667	4.302083333	1.582248012	2.340129514	96	96	3.47515696	4.770198129	3.47515696	4.770198129	4.11	4.344537815	1.434742084	1.856901806	100	119	3.828795719	4.678166627	3.828795719	4.678166627	0.318333333	0.042454482	0.405982977	2.463157464	0.150508288	6.644152367	-0.220106183	-0.256598199	7323	82677	bite, collect, hardworking, insect, worker, insect, bug	Wikimedia
argument.png	3.434782609	5.684210526	1.260597694	1.683860546	92	95	3.177191608	6.02281478	3.177191608	6.02281478	4.339285714	4.631578947	1.510047857	1.483019867	112	114	4.059626076	4.903813117	4.059626076	4.903813117	0.904503106	1.052631579	103.3044151	0.009680128	172.6641856	0.005791589	-0.853266466	0.994954603	42591	47409	dispute, quarrel, accusation, relationship dispute, verbal fight, debate, disagreement, couple, fight	Pixabay
argument2.png	2.568807339	5.979381443	1.173527229	2.076552539	109	97	2.348500483	6.392624103	2.348500483	6.392624103	3.101010101	4.663551402	1.474234146	1.69874496	99	107	2.810609869	4.98542428	2.810609869	4.98542428	0.532202762	1.315830041	2.785081979	0.359055858	2119.201542	0.000471876	-0.227190155	1.27558132	22986	67014	accusation, reproach, aggressive, conflict, marriage dispute, verbal fight, debate, disagreement, couple, fight	Pixabay
argument3.png	2.79787234	6.214285714	1.169319141	1.879076325	94	98	2.561488805	6.586317009	2.561488805	6.586317009	3.222222222	4.855855856	1.515602901	1.867652133	99	111	2.923673015	5.203298075	2.923673015	5.203298075	0.424349882	1.358429858	0.662664219	1.509059899	377.4128504	0.002649618	-0.144178856	1.42300671	31339	58661	allegation, frustration, fight, couple, relationship dispute, verbal fight, debate, disagreement, couple, fight	Pixabay
argument4.png	2.677083333	5.979166667	1.109715864	2.01038968	96	96	2.455098006	6.38132097	2.455098006	6.38132097	3.504950495	4.798319328	1.500824856	1.811356978	101	119	3.21225407	5.123765118	3.21225407	5.123765118	0.827867162	1.180847339	64.15234181	0.015587895	123.8542127	0.008074009	-0.605639327	1.214060905	41034	48966	contradiction, disagreement, intimidation, threat, dispute, verbal fight, debate, disagreement, men, fight	Pixabay
argument5.png	4.119565217	4.8	1.381529582	1.77811758	92	95	3.83726295	5.157558218	3.83726295	5.157558218	4.75	5.008695652	1.338952125	1.353978233	112	115	4.502027153	5.256158983	4.502027153	5.256158983	0.630434783	0.208695652	23.555289	0.042453311	0.163909817	6.100915838	-0.663371177	-0.060805497	30101	59899	instructive, moralizing, contradiction, discussion, morality, dispute, verbal fight, debate, disagreement, verbal fight, verbal threat, men	Pixabay
argument6.png	3.110091743	5.577319588	1.181175259	1.700704827	109	97	2.888349119	5.915766977	2.888349119	5.915766977	3.72	4.925925926	1.421906531	1.727748812	100	108	3.441311441	5.251775244	3.441311441	5.251775244	0.609908257	0.651393662	10.23994688	0.097656757	4.764083484	0.209903962	-0.431753322	0.75416586	36950	53050	threat, intimidation, rebuke, fight, verbal	Pixabay
argument7.png	3.861702128	5.836734694	1.811558254	1.897876608	94	98	3.495486841	6.212488187	3.495486841	6.212488187	4.93877551	5.102803738	1.733932581	1.446756812	98	107	4.595480682	5.376930691	4.595480682	5.376930691	1.077073383	0.733930956	80.73518008	0.012386174	14.11958395	0.070823617	-1.148698004	0.933119631	22852	67148	abuse, maltreatment, plea, apologize, desperate, dispute, asking, begging, pleading, fight, couple	Cleanpng
